iter	Passed	Remaining
0	30	30800
1	62	31360
2	87	29010
3	108	27086
4	136	27157
5	165	27478
6	200	28433
7	241	29921
8	271	29867
9	295	29245
10	321	28906
11	353	29099
12	388	29475
13	419	29513
14	480	31575
15	508	31295
16	540	31247
17	562	30695
18	590	30467
19	610	29893
20	631	29457
21	667	29652
22	698	29660
23	760	30933
24	794	30994
25	814	30518
26	853	30746
27	867	30110
28	883	29578
29	897	29024
30	912	28537
31	926	28041
32	942	27612
33	954	27107
34	967	26677
35	981	26282
36	995	25911
37	1007	25503
38	1023	25225
39	1037	24899
40	1054	24661
41	1075	24532
42	1089	24248
43	1103	23968
44	1115	23670
45	1128	23411
46	1143	23178
47	1156	22932
48	1170	22711
49	1184	22498
50	1198	22304
51	1214	22149
52	1228	21957
53	1242	21768
54	1255	21568
55	1265	21339
56	1282	21209
57	1296	21053
58	1311	20924
59	1323	20734
60	1333	20529
61	1343	20328
62	1353	20135
63	1363	19938
64	1374	19769
65	1385	19605
66	1396	19440
67	1406	19281
68	1417	19124
69	1427	18962
70	1437	18809
71	1447	18651
72	1457	18508
73	1467	18366
74	1477	18223
75	1489	18110
76	1500	17991
77	1510	17855
78	1520	17728
79	1531	17608
80	1540	17483
81	1551	17365
82	1560	17241
83	1570	17126
84	1580	17015
85	1590	16902
86	1600	16792
87	1609	16680
88	1619	16573
89	1629	16478
90	1639	16378
91	1649	16279
92	1658	16178
93	1668	16079
94	1678	15986
95	1687	15892
96	1697	15803
97	1707	15718
98	1718	15638
99	1728	15558
100	1738	15478
101	1748	15394
102	1758	15315
103	1769	15242
104	1779	15167
105	1788	15084
106	1798	15011
107	1808	14933
108	1818	14867
109	1830	14808
110	1840	14738
111	1854	14703
112	1865	14647
113	1876	14583
114	1885	14508
115	1896	14453
116	1906	14390
117	1916	14325
118	1926	14265
119	1936	14202
120	1946	14140
121	1956	14079
122	1965	14016
123	1977	13966
124	1986	13905
125	1997	13858
126	2009	13810
127	2019	13756
128	2030	13708
